use for analysis,check_time
1,2012/11/19 06:00
1,2012/11/19 09:00
1,2012/11/19 12:00
1,2012/11/19 15:00
1,2012/11/20 06:00
1,2012/11/20 09:00
1,2012/11/20 12:00
1,2012/11/20 15:00
1,2012/11/20 18:00
1,2012/11/21 06:00
1,2012/11/21 09:00
1,2012/11/21 12:00
1,2012/11/21 15:00
1,2012/11/22 06:00
1,2012/11/22 09:00
1,2012/11/22 12:00
1,2012/11/22 15:00
1,2012/11/22 18:00
1,2012/11/23 06:00
1,2012/11/23 09:00
1,2012/11/23 12:00
1,2012/11/23 15:00
1,2012/11/26 06:00
1,2012/11/26 09:00
1,2012/11/26 12:00
1,2012/11/26 15:00
1,2012/11/27 06:00
1,2012/11/27 09:00
1,2012/11/27 12:00
1,2012/11/27 15:00
